Tất cả	ID=1	Left=8	Right=8007
Sản phẩm	ID=2	Left=9	Right=7706
Dịch vụ	ID=3	Left=7707	Right=7924
Tổ chức	ID=4	Left=7925	Right=7996
Con người	ID=5	Left=7997	Right=8004
Quần áo nữ	ID=44	Left=11	Right=56
Đầm	ID=46	Left=12	Right=13
Váy	ID=47	Left=14	Right=15
Áo sơ mi nữ	ID=48	Left=26	Right=27
Áo khoác nữ	ID=49	Left=24	Right=25
Đồ lót	ID=50	Left=18	Right=23
Quần áo lót	ID=51	Left=19	Right=20
Bộ quần áo nữ	ID=53	Left=32	Right=33
Quần short	ID=54	Left=30	Right=31
Áo đôi	ID=55	Left=28	Right=29
Quần bò	ID=56	Left=40	Right=41
Đồ bầu	ID=57	Left=38	Right=39
Quần dài	ID=58	Left=36	Right=37
Đồng phục	ID=59	Left=34	Right=35
Áo hai dây	ID=60	Left=48	Right=49
Đồ ngủ	ID=61	Left=46	Right=47
Áo len	ID=62	Left=44	Right=45
Legging	ID=63	Left=42	Right=43
Đồ bơi nữ	ID=64	Left=50	Right=51
Đồ gen	ID=65	Left=52	Right=53
Dịch vụ may đo	ID=66	Left=54	Right=55
Túi đi chơi	ID=69	Left=59	Right=60
Túi đi làm	ID=70	Left=61	Right=62
Ví tiền	ID=71	Left=63	Right=64
Túi dự tiệc tối	ID=73	Left=67	Right=68
Túi đi học	ID=74	Left=69	Right=70
Khác	ID=75	Left=71	Right=482
Ba lô	ID=80	Left=494	Right=495
Vali hành lý	ID=81	Left=492	Right=493
Trang sức	ID=82	Left=625	Right=668
Đồng hồ	ID=84	Left=519	Right=532
Quần áo nam	ID=85	Left=497	Right=518
Thời trang trẻ em	ID=86	Left=557	Right=584
Kính mắt	ID=87	Left=533	Right=556
Phụ trang	ID=88	Left=677	Right=698
Đồ cưới	ID=90	Left=699	Right=712
Máy tính và mạng	ID=91	Left=714	Right=1057
Laptop	ID=93	Left=715	Right=716
Thiết bị máy tính	ID=95	Left=757	Right=818
Máy tính để bàn	ID=96	Left=991	Right=996
Phần mềm	ID=97	Left=997	Right=1056
