Bebe	ID=1	Left=34272	Right=34409	 id = 178651
Guess	ID=2	Left=143622	Right=144071	 id = 178652
Ecko	ID=3	Left=106418	Right=106419	 id = 178653
G-Unit	ID=4	Left=267716	Right=267717	 id = 178654
Hollister	ID=5	Left=388460	Right=388461	 id = 178655
33star	ID=6	Left=176702	Right=176703	 id = 178656
Lacoste	ID=7	Left=257616	Right=257807	 id = 178657
Dolce & Gabbana	ID=8	Left=129922	Right=130289	 id = 178658
Burberry	ID=9	Left=148106	Right=148589	 id = 178659
Aqua	ID=10	Left=295356	Right=295367	 id = 178660
Adidas	ID=11	Left=381780	Right=382159	 id = 178661
Aeropostale	ID=12	Left=199836	Right=199837	 id = 178662
Banana Republic	ID=13	Left=117936	Right=117963	 id = 178663
Banana	ID=14	Left=97766	Right=97767	 id = 178664
BCBG Max Azria	ID=15	Left=376840	Right=376939	 id = 178665
Affliction	ID=16	Left=74218	Right=74219	 id = 178666
Calvin Klein	ID=17	Left=315626	Right=315919	 id = 178667
Agave	ID=18	Left=78604	Right=78605	 id = 178668
BCBGeneration	ID=19	Left=117918	Right=117919	 id = 178669
Vietthy	ID=20	Left=62990	Right=62991	 id = 178670
Theory	ID=21	Left=182836	Right=182837	 id = 178671
DKNY	ID=22	Left=84396	Right=84833	 id = 178672
Kitty	ID=23	Left=314708	Right=314709	 id = 178673
Express	ID=24	Left=46114	Right=46121	 id = 178674
Grane	ID=25	Left=387846	Right=387847	 id = 178675
Gucci	ID=26	Left=2726	Right=4053	 id = 178676
Armani Exchange	ID=27	Left=103578	Right=103737	 id = 178677
Abercrombie & Fitch	ID=28	Left=89416	Right=89419	 id = 178678
Nike Fit Dry	ID=29	Left=165496	Right=165497	 id = 178679
Dakota	ID=30	Left=262016	Right=262021	 id = 178680
Vince	ID=31	Left=33284	Right=33285	 id = 178681
American Eagle	ID=32	Left=102708	Right=102711	 id = 178682
C&C California	ID=33	Left=239898	Right=239899	 id = 178683
Splendid	ID=34	Left=137318	Right=137319	 id = 178684
Bongo	ID=35	Left=336422	Right=336501	 id = 178685
Christian Audigier	ID=36	Left=235634	Right=235655	 id = 178686
Victoria's Secret	ID=37	Left=349126	Right=349129	 id = 178687
CC Girl	ID=38	Left=225604	Right=225605	 id = 178688
Tommy	ID=39	Left=104276	Right=104289	 id = 178689
Yukiko	ID=40	Left=248384	Right=248385	 id = 178690
Alice & Olivia	ID=41	Left=15926	Right=15927	 id = 178691
wow	ID=42	Left=380772	Right=380773	 id = 178692
Rebecca Beeson	ID=43	Left=250742	Right=250743	 id = 178693
Miti	ID=44	Left=103558	Right=103559	 id = 178694
Prada	ID=45	Left=166340	Right=166409	 id = 178695
Hatley	ID=46	Left=124334	Right=124335	 id = 178696
Foci	ID=47	Left=241066	Right=241067	 id = 178697
Brixton	ID=48	Left=377890	Right=377891	 id = 178698
Hard Tail	ID=49	Left=361634	Right=361635	 id = 178699
Twenty One	ID=51	Left=33896	Right=33897	 id = 178700
Tomy	ID=52	Left=380524	Right=380529	 id = 178701
Testament	ID=53	Left=34920	Right=34921	 id = 178702
The Limited	ID=54	Left=136222	Right=136223	 id = 178703
Tex by Maxazria	ID=55	Left=90006	Right=90007	 id = 178704
Sweet Pea	ID=56	Left=94220	Right=94221	 id = 178705
Soprano	ID=57	Left=135736	Right=135737	 id = 178706
Velvet	ID=58	Left=370958	Right=370959	 id = 178707
Victoria	ID=59	Left=389172	Right=389173	 id = 178708
Wes-seal	ID=60	Left=8598	Right=8599	 id = 178709
Liz Claiborne	ID=62	Left=97534	Right=97547	 id = 178710
Michael Kors	ID=63	Left=6288	Right=6359	 id = 178711
Kenneth Cole	ID=64	Left=1372	Right=1667	 id = 178712
Cache	ID=65	Left=4418	Right=4419	 id = 178713
Alfani	ID=66	Left=11880	Right=11881	 id = 178714
Ralph Lauren	ID=67	Left=389612	Right=389651	 id = 178715
PNJ	ID=68	Left=117644	Right=117645	 id = 178716
White Blac	ID=69	Left=84288	Right=84289	 id = 178717
Rivet & Blues	ID=70	Left=85992	Right=85993	 id = 178718
Snap	ID=71	Left=139286	Right=139287	 id = 178719
Silence & Noise	ID=72	Left=380364	Right=380365	 id = 178720
Robert Rodriguez	ID=73	Left=145730	Right=145731	 id = 178721
Grass	ID=74	Left=366170	Right=366171	 id = 178722
Dressbarn	ID=75	Left=231796	Right=231797	 id = 178723
Dna Sport	ID=76	Left=92882	Right=92883	 id = 178724
Ddmart	ID=77	Left=31820	Right=31821	 id = 178725
Daisy	ID=78	Left=304754	Right=304755	 id = 178726
Chadwicks	ID=79	Left=393042	Right=393043	 id = 178727
Canadian Beaver	ID=80	Left=29248	Right=29249	 id = 178728
Bobi	ID=81	Left=101658	Right=101659	 id = 178729
Hang Ten	ID=82	Left=338530	Right=338531	 id = 178730
Heart Hips	ID=83	Left=371002	Right=371003	 id = 178731
Julie's closet	ID=84	Left=258274	Right=258275	 id = 178732
Retro Sport	ID=85	Left=233726	Right=233727	 id = 178733
Primp	ID=86	Left=90826	Right=90827	 id = 178734
Michael Stars	ID=87	Left=142948	Right=142949	 id = 178735
LinhLong Fashion	ID=88	Left=131038	Right=131039	 id = 178736
La Rok	ID=89	Left=301068	Right=301069	 id = 178737
La Made	ID=90	Left=315582	Right=315583	 id = 178738
Kevin	ID=91	Left=227246	Right=227247	 id = 178739
Justice	ID=92	Left=208306	Right=208307	 id = 178740
Baleno	ID=93	Left=180108	Right=180109	 id = 178741
Converse	ID=94	Left=90408	Right=90541	 id = 178742
Hot Kiss	ID=95	Left=200362	Right=200363	 id = 178743
Fever	ID=96	Left=335962	Right=335963	 id = 178744
HKNB	ID=97	Left=381664	Right=381665	 id = 178745
Hot Chillys	ID=98	Left=216042	Right=216043	 id = 178746
Famous Stars and Straps	ID=99	Left=110812	Right=110813	 id = 178747
Fang	ID=100	Left=136492	Right=136493	 id = 178748
Evisu	ID=101	Left=224882	Right=224883	 id = 178749
Ecko Red	ID=102	Left=167438	Right=167439	 id = 178750
D.E.P.T.	ID=103	Left=307090	Right=307091	 id = 178751
Junk Food	ID=104	Left=369220	Right=369221	 id = 178752
Karen Scott	ID=105	Left=201014	Right=201015	 id = 178753
Imaginary Foundation	ID=106	Left=177808	Right=177809	 id = 178754
Ánes_i	ID=107	Left=388518	Right=388519	 id = 178755
Amazingtee	ID=108	Left=231304	Right=231305	 id = 178756
Ann Taylor	ID=109	Left=196582	Right=196583	 id = 178757
Croft & Barrow	ID=110	Left=178598	Right=178599	 id = 178758
WeSC	ID=111	Left=377600	Right=377601	 id = 178759
Weavers	ID=112	Left=339450	Right=339451	 id = 178760
Insight	ID=114	Left=90726	Right=90727	 id = 178761
Fedora Boutique	ID=115	Left=104668	Right=104669	 id = 178762
Duofold	ID=116	Left=226466	Right=226467	 id = 178763
Dereon	ID=117	Left=313736	Right=313737	 id = 178764
Chaser	ID=118	Left=366124	Right=366125	 id = 178765
Karmaloop	ID=119	Left=300346	Right=300347	 id = 178766
