FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Acer-4745-laptop-Core-i3-hap-dan-score.xml_00019,Strict,22,5,5,35,0.6875,0.3548387096774194,0.4680851063829787
Acer-Timeline-X-mong-ma-khoe-score.xml_0001C,Strict,17,10,2,34,0.5862068965517241,0.2786885245901639,0.37777777777777777
Anh-hung-HTC-Hero-score.xml_0001F,Strict,86,9,37,108,0.6515151515151515,0.4236453201970443,0.5134328358208955
Aspire-3935---hoi-tho-moi-cua-Acer-score.xml_00022,Strict,90,22,29,72,0.6382978723404256,0.4891304347826087,0.5538461538461539
Asus-Eee-PC-1000HE-score.xml_00025,Strict,94,14,10,82,0.7966101694915254,0.49473684210526314,0.6103896103896105
Asus-P552w-mang-phong-cach-Touch-score.xml_00028,Strict,75,9,10,63,0.7978723404255319,0.5102040816326531,0.6224066390041494
Asus-UX30-dep-nhung-chua-khoe-score.xml_0002B,Strict,82,16,24,81,0.6721311475409836,0.4581005586592179,0.5448504983388704
Asus-W90---laptop-vo-doi-cho-game-thu-score.xml_0002E,Strict,144,20,59,115,0.6457399103139013,0.5161290322580645,0.5737051792828685
BlackBerry-Curve-8900-score.xml_00031,Strict,117,7,16,65,0.8357142857142857,0.6190476190476191,0.7112462006079027
Cai-nhin-so-bo-ve-Renoir-score.xml_00034,Strict,55,7,18,60,0.6875,0.45081967213114754,0.5445544554455446
Cam-nhan-ban-dau-ve-HTC-Magic-score.xml_00037,Strict,57,4,14,44,0.76,0.5428571428571428,0.6333333333333332
Canon-HG10-score.xml_0003A,Strict,57,7,11,98,0.76,0.35185185185185186,0.4810126582278481
Canon-IXUS-870-IS-day-hua-hen-score.xml_0003D,Strict,104,17,39,72,0.65,0.538860103626943,0.5892351274787536
Chuyen-gia-giai-tri-Lenovo-IdeaPad-Y530-score.xml_00040,Strict,100,14,21,125,0.7407407407407407,0.41841004184100417,0.5347593582887701
Compaq-CQ60-re-nhu-netbook-score.xml_00043,Strict,67,10,18,44,0.7052631578947368,0.5537190082644629,0.6203703703703703
Danh-gia-Acer-AS4738-score.xml_00046,Strict,23,6,6,21,0.6571428571428571,0.46,0.5411764705882354
Danh-gia-Acer-Iconia-Tab-A500-score.xml_00049,Strict,24,7,2,25,0.7272727272727273,0.42857142857142855,0.5393258426966292
Danh-gia-Acer-Iconia-Tab-W501-score.xml_0004C,Strict,20,7,8,21,0.5714285714285714,0.4166666666666667,0.48192771084337344
Danh-gia-ampli-NuForce-Icon-HDP-score.xml_0004F,Strict,21,3,11,18,0.6,0.5,0.5454545454545454
Danh-gia-Asus-K43E-score.xml_00052,Strict,26,11,14,29,0.5098039215686274,0.3939393939393939,0.4444444444444444
