FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Acer-4745-laptop-Core-i3-hap-dan-score.xml_00019,Strict,40,11,13,5,0.625,0.7142857142857143,0.6666666666666666
Acer-Timeline-X-mong-ma-khoe-score.xml_0001C,Strict,32,17,11,3,0.5333333333333333,0.6153846153846154,0.5714285714285715
Anh-hung-HTC-Hero-score.xml_0001F,Strict,154,21,61,21,0.652542372881356,0.7857142857142857,0.7129629629629629
Aspire-3935---hoi-tho-moi-cua-Acer-score.xml_00022,Strict,130,30,37,23,0.6598984771573604,0.7103825136612022,0.6842105263157895
Asus-Eee-PC-1000HE-score.xml_00025,Strict,130,27,28,16,0.7027027027027027,0.7514450867052023,0.7262569832402234
Asus-P552w-mang-phong-cach-Touch-score.xml_00028,Strict,115,11,26,7,0.756578947368421,0.8646616541353384,0.8070175438596491
Asus-UX30-dep-nhung-chua-khoe-score.xml_0002B,Strict,117,34,64,14,0.5441860465116279,0.7090909090909091,0.6157894736842106
Asus-W90---laptop-vo-doi-cho-game-thu-score.xml_0002E,Strict,176,31,115,13,0.546583850931677,0.8,0.6494464944649447
BlackBerry-Curve-8900-score.xml_00031,Strict,145,13,42,6,0.725,0.8841463414634146,0.7967032967032966
Cai-nhin-so-bo-ve-Renoir-score.xml_00034,Strict,81,12,32,12,0.648,0.7714285714285715,0.7043478260869566
Cam-nhan-ban-dau-ve-HTC-Magic-score.xml_00037,Strict,85,11,18,9,0.7456140350877193,0.8095238095238095,0.776255707762557
Canon-HG10-score.xml_0003A,Strict,124,15,25,15,0.7560975609756098,0.8051948051948052,0.7798742138364779
Canon-IXUS-870-IS-day-hua-hen-score.xml_0003D,Strict,142,26,65,12,0.6094420600858369,0.7888888888888889,0.6876513317191283
Chuyen-gia-giai-tri-Lenovo-IdeaPad-Y530-score.xml_00040,Strict,176,45,102,7,0.544891640866873,0.7719298245614035,0.6388384754990926
Compaq-CQ60-re-nhu-netbook-score.xml_00043,Strict,78,16,31,18,0.624,0.6964285714285714,0.6582278481012659
Danh-gia-Acer-AS4738-score.xml_00046,Strict,30,10,23,1,0.47619047619047616,0.7317073170731707,0.576923076923077
Danh-gia-Acer-Iconia-Tab-A500-score.xml_00049,Strict,27,18,14,3,0.4576271186440678,0.5625,0.5046728971962616
Danh-gia-Acer-Iconia-Tab-W501-score.xml_0004C,Strict,32,13,15,3,0.5333333333333333,0.6666666666666666,0.5925925925925926
Danh-gia-ampli-NuForce-Icon-HDP-score.xml_0004F,Strict,22,4,21,3,0.46808510638297873,0.7586206896551724,0.5789473684210527
Danh-gia-Asus-K43E-score.xml_00052,Strict,41,21,26,4,0.4659090909090909,0.6212121212121212,0.5324675324675324
